date,avg,min,max
2025-10-09,8.904433653461887E-5,7.133467437039196E-5,1.0097669671954297E-4
2025-10-10,7.948710408806299E-5,6.094100535839799E-5,1.073693347281081E-4
2025-10-11,1.2823905746995373E-4,9.65325251740356E-5,1.4465255662824886E-4
2025-10-12,8.872039207946626E-5,5.058298847868762E-5,1.1263628402977942E-4
2025-10-13,1.250124260992227E-4,8.872332482298243E-5,1.467918773416163E-4
2025-10-14,7.811743017747942E-5,6.414750532704947E-5,8.839439033197297E-5
2025-10-15,9.064553987623955E-5,7.617921073678884E-5,1.0500503412932407E-4
2025-10-16,1.5522576846625143E-4,1.3943191152048951E-4,1.7061155813297526E-4
2025-10-17,1.562303896689674E-4,1.1821963721538312E-4,1.9541250367204483E-4
2025-10-18,1.993002157382047E-4,1.4344844826788468E-4,2.8385181212826097E-4
2025-10-19,1.801189235605469E-4,1.346113858742857E-4,2.4887346080531414E-4
2025-10-20,2.1648509767022484E-4,1.576200374982256E-4,3.1151535222362847E-4
2025-10-21,1.0127704097466123E-4,6.642023072332345E-5,1.636241941015938E-4
2025-10-24,1.90198106039873E-4,1.1237141006846284E-4,2.5345137525014825E-4
2025-10-25,1.203042345837661E-4,9.688208956485516E-5,1.593126362425345E-4
2025-10-26,6.564985786924424E-5,5.773136217605718E-5,7.725189789206052E-5
2025-10-28,1.438565611417262E-4,9.421200229541992E-5,2.2486333909934618E-4
2025-11-03,1.8855274915185856E-4,1.379172317682011E-4,2.3142294958258992E-4
2025-11-04,1.7409283092871655E-4,1.3720466813511707E-4,2.142566954719179E-4
2025-11-05,1.3198901992635955E-4,6.532948464147213E-5,1.8418594192969382E-4
2025-11-06,1.3875211618424272E-4,8.654154395059348E-5,2.067075693050784E-4
2025-11-07,9.501067052737954E-5,7.107745477683144E-5,1.3172933540767077E-4
2025-11-08,1.6366589950836917E-4,1.2722121027749516E-4,1.966062263821992E-4
2025-11-09,9.953111148423933E-5,6.720575038335455E-5,1.1688703671118767E-4
2025-11-10,1.4399198629283034E-4,1.1122345575371548E-4,1.6234650684059614E-4
2025-11-11,1.4707886089038877E-4,1.2287431481339253E-4,2.476872527830069E-4
2025-11-13,2.5992145271654506E-4,1.3529305579124248E-4,5.457701627162771E-4
2025-11-18,1.0636061685450604E-4,7.223543798309305E-5,1.6536252019502844E-4
2025-11-19,1.595922592241931E-4,1.0165680578191675E-4,2.0823418162800554E-4
2025-11-21,1.0736505449573064E-4,9.370339466829508E-5,1.2812740897084337E-4
2025-11-22,1.0083222990354046E-4,6.405683234326164E-5,1.5050796691657066E-4
2025-11-23,2.6156076079057326E-4,1.852869609134416E-4,3.1411676900495463E-4
2025-11-24,2.46340762561891E-4,1.2333939957884132E-4,4.8136941040918406E-4
2025-11-25,1.7692615748438585E-4,1.2436221004448534E-4,2.1577042934973898E-4
2025-11-26,1.5636002337107135E-4,1.102019273882362E-4,2.0182545995376034E-4
2025-11-27,1.2620435203159155E-4,9.25100030143546E-5,1.7797516193258648E-4
2025-11-28,2.232611852592867E-4,1.448700249885952E-4,2.8775280225121967E-4
2025-11-29,2.001722929764475E-4,1.6587386198016333E-4,2.4201387714155252E-4
2025-11-30,1.4169385462108562E-4,6.842424772909743E-5,2.3845567193337878E-4
2025-12-01,1.9067655544859264E-4,1.2933370453522568E-4,2.921409359129176E-4
2025-12-02,2.2247415920303835E-4,1.7848715373938685E-4,2.630975795912389E-4
2025-12-03,1.9020229785591614E-4,1.2026670447070355E-4,2.57817126112339E-4
2025-12-04,1.34072370941212E-4,9.496782149642275E-5,1.6720088024174722E-4
2025-12-05,2.2304149177462303E-4,1.5047773194946584E-4,3.471662250844644E-4
2025-12-06,2.921993014276394E-4,2.3450636309128235E-4,3.8229642086700516E-4
2025-12-07,1.7163818021257072E-4,1.3272574869899623E-4,2.3767477250647925E-4
2025-12-08,1.4072258319034877E-4,1.2261169907280573E-4,1.7831426060690634E-4
2025-12-09,1.3620380845416244E-4,9.894160337271866E-5,1.626763116000394E-4
2025-12-10,1.62866867793274E-4,1.0325325329471724E-4,2.082537248500093E-4
2025-12-11,2.069292265695812E-4,1.3498937187244995E-4,2.540516813252762E-4
2025-12-12,3.498306503068964E-4,2.144172496905999E-4,4.575983766694024E-4
2025-12-13,1.8197451475043613E-4,1.1976090900119658E-4,2.2057464229898293E-4
2025-12-14,1.1681993643211155E-4,8.659092418373224E-5,1.4730733528294074E-4
2025-12-15,1.356569512157191E-4,9.637538000178012E-5,1.733543316303492E-4
2025-12-16,2.209232711538902E-4,1.558437070346445E-4,5.293393624024668E-4
2025-12-17,2.0746002044048272E-4,1.429139229000578E-4,4.225037644006472E-4
2025-12-18,2.181852788569085E-4,9.181190398510501E-5,3.755873168596079E-4
2025-12-19,5.118054610173093E-4,2.435218676454334E-4,0.001243893406356127
2025-12-20,1.3637169867272022E-4,9.468306234328521E-5,1.9235300715100598E-4
